"109年06月18日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","13,290.40","+","33.32","0.25","",
"發行量加權股價指數","11,548.33","+","13.74","0.12","",
"臺灣公司治理100指數","6,557.69","-","11.38","-0.17","",
"臺灣50指數","8,829.13","-","17.88","-0.20","",
"臺灣50權重上限30%指數","8,695.47","-","18.33","-0.21","",
"臺灣中型100指數","8,958.62","+","88.21","0.99","",
"臺灣資訊科技指數","13,087.43","+","15.32","0.12","",
"臺灣發達指數","8,243.81","+","13.61","0.17","",
"臺灣高股息指數","6,656.44","+","25.02","0.38","",
"臺灣就業99指數","6,587.04","+","18.48","0.28","",
"臺灣高薪100指數","6,146.74","-","12.92","-0.21","",
"未含金融指數","9,820.11","+","23.16","0.24","",
"未含電子指數","14,422.39","-","40.78","-0.28","",
"未含金融電子指數","11,963.75","-","13.92","-0.12","",
"小型股300指數","6,677.84","+","54.37","0.82","",
"水泥窯製類指數","582.48","-","1.62","-0.28","",
"塑膠化工類指數","778.59","+","2.46","0.32","",
"機電類指數","2,869.88","+","11.17","0.39","",
"水泥類指數","163.70","-","0.41","-0.25","",
"食品類指數","1,781.79","+","2.91","0.16","",
"塑膠類指數","229.32","-","0.02","-0.01","",
"紡織纖維類指數","523.54","+","4.12","0.79","",
"電機機械類指數","182.57","-","0.33","-0.18","",
"電器電纜類指數","48.47","-","0.41","-0.84","",
"化學生技醫療類指數","105.67","+","1.56","1.50","",
"化學類指數","101.67","-","0.02","-0.02","",
"生技醫療類指數","75.08","+","2.06","2.82","",
"玻璃陶瓷類指數","27.56","-","0.15","-0.54","",
"造紙類指數","224.47","+","0.01","--","",
"鋼鐵類指數","90.37","-","1.20","-1.31","",
"橡膠類指數","239.47","-","0.45","-0.19","",
"汽車類指數","341.11","-","1.45","-0.42","",
"電子工業類指數","512.94","+","2.11","0.41","",
"半導體類指數","217.61","+","0.24","0.11","",
"電腦及週邊設備類指數","110.15","+","1.46","1.34","",
"光電類指數","37.97","+","0.18","0.48","",
"通信網路類指數","126.13","-","0.45","-0.36","",
"電子零組件類指數","120.61","+","2.20","1.86","",
"電子通路類指數","120.54","-","0.25","-0.21","",
"資訊服務類指數","125.47","-","0.77","-0.61","",
"其他電子類指數","78.86","+","0.51","0.65","",
"建材營造類指數","297.56","-","0.43","-0.14","",
"航運類指數","60.49","-","0.39","-0.64","",
"觀光類指數","93.87","","--","--","",
"金融保險類指數","1,282.83","-","8.26","-0.64","",
"貿易百貨類指數","272.90","-","1.21","-0.44","",
"油電燃氣類指數","115.13","-","0.86","-0.74","",
"其他類指數","276.07","+","0.35","0.13","",
"臺指日報酬兩倍指數","18,029.87","+","42.85","0.24","",
"臺指反向一倍指數","6,404.86","-","7.64","-0.12","",
"電子類兩倍槓桿指數","16,163.24","+","132.43","0.83","",
"電子類反向指數","6,257.04","-","25.95","-0.41","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,995.97","+","84.42","1.72","",
"臺灣中小型公司治理指數","6,066.59","+","68.15","1.14","",
"臺灣IPO指數","5,973.17","+","43.13","0.73","",
"智慧中立指數","4,875.93","+","8.52","0.18","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","19,381.22","-","251.20","-1.28","",
"金融類日報酬反向一倍指數","6,342.91","+","40.32","0.64","",
"漲升股利150指數","6,237.55","+","11.71","0.19","",
"漲升股利100指數","6,237.58","+","8.47","0.14","",
"藍籌30指數","6,091.05","-","11.36","-0.19","",
"工業菁英30指數","6,506.38","+","15.17","0.23","",
"電子菁英30指數","6,613.12","+","19.62","0.30","",
"低波動股利精選30指數","5,856.02","-","30.40","-0.52","",
"低貝塔100指數","5,897.14","-","9.23","-0.16","",
"藍籌30反向一倍指數","7,525.24","+","13.98","0.19","",
"中小型精選50指數","6,022.17","+","20.13","0.34","",
"中小型A級動能50指數","8,153.14","+","128.36","1.60","",
"特選高息低波指數","5,392.72","+","35.36","0.66","",
"臺灣永續指數","5,679.86","-","6.09","-0.11","",
"工業菁英30反向一倍指數","8,085.37","-","18.94","-0.23","",
