"110年06月27日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","1,408,134,906","6,549,161","4,259",
"2.台灣存託憑證","6,003,000","2,001,000","2,001",
"3.受益憑證","0","0","0",
"4.ETF","22,569,902","194,343","112",
"5.受益證券","0","0","0",
"6.變更交易股票","0","0","0",
"7.認購(售)權證","2,329,960","5,060,000","64",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","0","0","0",
"14.創新板股票","1,803,779,350","34,659,000","3,404",
"15.創新板-變更交易方法股票","0","0","0",
"證券合計(1+6+14+15)","3,211,914,256","41,208,161","7,663",
"總計(1~15)","3,242,817,118","48,463,504","9,840",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","5,328(200)","420(24)",
"下跌(跌停)","4,707(32)","415(0)",
"持平","836","107",
"未成交","10,333","3",
"無比價","2,167","6",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"不加計外幣交易證券交易金額。",

"110年06月27日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","136,293","101","20,102,289","150.60","150.60","137.00","137.00","+","0.05","137.00","12","--","5","0.00",
="0051","元大中型100","40,020","6","2,200,060","52.10","63.60","52.10","63.60","+","5.75","--","3","--","33","0.00",
="0052","富邦科技","0","0","0","--","--","--","--"," ","0.00","--","1","--","7","0.00",
="0053","元大電子","0","0","0","--","--","--","--"," ","0.00","--","1","--","1","0.00",
="0054","元大台商50","0","0","0","--","--","--","--"," ","0.00","--","1","--","1","0.00",
="0055","元大MSCI金融","0","0","0","--","--","--","--"," ","0.00","--","30","--","58","0.00",
="0056","元大高股息","0","0","0","--","--","--","--"," ","0.00","35.00","73","36.88","102","0.00",
="0057","富邦摩台","0","0","0","--","--","--","--"," ","0.00","--","10","--","40","0.00",
="0061","元大寶滬深","0","0","0","--","--","--","--"," ","0.00","0.01","56","10.00","11","0.00",
="006203","元大MSCI台灣","0","0","0","--","--","--","--"," ","0.00","--","35","--","35","0.00",
="006204","永豐臺灣加權","0","0","0","--","--","--","--"," ","0.00","--","50","--","50","0.00",
="006205","富邦上証","30","1","1,143","--","--","--","--"," ","0.00","--","44","--","3","0.00",
="006206","元大上證50","0","0","0","--","--","--","--"," ","0.00","--","99","--","3","0.00",
="006207","FH滬深","0","0","0","--","--","--","--"," ","0.00","--","1","--","20","0.00",
="006208","富邦台50","0","0","0","--","--","--","--"," ","0.00","71.05","2","--","2","0.00",
="00625K","富邦上証+R","0","0","0","--","--","--","--"," ","0.00","--","5","--","2","0.00",
="00631L","元大台灣50正2","0","0","0","--","--","--","--"," ","0.00","--","2","--","54","0.00",
="00632R","元大台灣50反1","1,000","1","5,050","5.05","5.05","5.05","5.05","-","0.56","--","10,877","5.05","6,438","0.00",
="00633L","富邦上証正2","0","0","0","--","--","--","--"," ","0.00","--","463","--","46","0.00",
="00634R","富邦上証反1","0","0","0","--","--","--","--"," ","0.00","--","91","--","594","0.00",
="00635U","期元大S&P黃金","0","0","0","--","--","--","--"," ","0.00","--","177","--","2","0.00",
="00636","國泰中國A50","0","0","0","--","--","--","--"," ","0.00","--","29","--","28","0.00",
="00636K","國泰中國A50+U","0","0","0","--","--","--","--"," ","0.00","--","12","--","12","0.00",
="00637L","元大滬深300正2","0","0","0","--","--","--","--"," ","0.00","--","306","--","179","0.00",
="00638R","元大滬深300反1","0","0","0","--","--","--","--"," ","0.00","--","10","--","324","0.00",
="00639","富邦深100","0","0","0","--","--","--","--"," ","0.00","--","27","--","50","0.00",
="00640L","富邦日本正2","0","0","0","--","--","--","--"," ","0.00","--","99","--","115","0.00",
="00641R","富邦日本反1","0","0","0","--","--","--","--"," ","0.00","--","34","--","10","0.00",
="00642U","期元大S&P石油","0","0","0","--","--","--","--"," ","0.00","--","692","--","113","0.00",
="00643","群益深証中小","0","0","0","--","--","--","--"," ","0.00","--","50","18.89","27","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","--","2","--","1","0.00",
="00645","富邦日本","0","0","0","--","--","--","--"," ","0.00","--","7","--","27","0.00",
="00646","元大S&P500","0","0","0","--","--","--","--"," ","0.00","--","4","--","2","0.00",
="00647L","元大S&P500正2","0","0","0","--","--","--","--"," ","0.00","--","49","--","76","0.00",
="00648R","元大S&P500反1","0","0","0","--","--","--","--"," ","0.00","--","427","--","1,101","0.00",
="00650L","FH香港正2","0","0","0","--","--","--","--"," ","0.00","--","137","--","34","0.00",
="00651R","FH香港反1","0","0","0","--","--","--","--"," ","0.00","--","2","--","103","0.00",
="00652","富邦印度","0","0","0","--","--","--","--"," ","0.00","--","20","--","12","0.00",
="00653L","富邦印度正2","0","0","0","--","--","--","--"," ","0.00","--","45","--","19","0.00",
="00654R","富邦印度反1","0","0","0","--","--","--","--"," ","0.00","--","23","--","40","0.00",
="00655L","國泰中國A50正2","0","0","0","--","--","--","--"," ","0.00","--","67","--","31","0.00",
="00656R","國泰中國A50反1","0","0","0","--","--","--","--"," ","0.00","--","251","--","150","0.00",
="00657","國泰日經225","0","0","0","--","--","--","--"," ","0.00","--","30","--","30","0.00",
="00657K","國泰日經225+U","0","0","0","--","--","--","--"," ","0.00","--","12","--","12","0.00",
="00660","元大歐洲50","0","0","0","--","--","--","--"," ","0.00","--","20","--","2","0.00",
