上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:109/08/11
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","50.70","-0.05","50.60","50.75","50.55","340,000","17,212,250","149","50.65","9","50.70","35","343,192,000","9,999.95","0.01"
"00687B","國泰20年美債","52.85","-0.10","52.70","52.85","52.70","132,000","6,972,650","16","52.80","3","52.90","15","235,287,000","9,999.95","0.01"
"00694B","富邦美債1-3","39.74","+0.02","39.72","39.74","39.70","304,000","12,077,870","6","39.72","2","39.77","50","177,076,000","9,999.95","0.01"
"00695B","富邦美債7-10","41.77","-0.10","41.82","41.82","41.76","350,000","14,625,480","19","41.77","13","41.79","1","9,186,000","9,999.95","0.01"
"00696B","富邦美債20年","52.85","-0.20","52.90","52.95","52.85","454,000","24,017,050","27","52.85","12","52.95","5","730,181,000","9,999.95","0.01"
"00697B","元大美債7-10","44.44","+0.01","44.44","44.44","44.43","188,000","8,353,700","10","44.44","1","44.47","20","6,212,000","9,999.95","0.01"
"00718B","富邦中國政策債","19.37","+0.06","19.33","19.37","19.33","433,000","8,386,450","20","19.36","5","19.37","10","1,149,001,000","9,999.95","0.01"
"00719B","元大美債1-3","31.77","+0.06","31.77","31.77","31.77","100,000","3,177,000","2","31.74","1","31.80","15","596,014,000","9,999.95","0.01"
"00720B","元大投資級公司債","49.14","-0.02","49.16","49.16","49.04","571,000","28,039,350","315","49.10","10","49.14","31","627,109,000","9,999.95","0.01"
"00721B","元大中國債3-5","44.52","+0.23","44.45","44.52","44.43","206,000","9,162,050","9","44.44","1","44.52","9","457,622,000","9,999.95","0.01"
"00722B","群益15年IG電信債","52.70","-0.05","52.65","52.70","52.60","146,000","7,681,750","26","52.65","2","52.70","1","692,239,000","9,999.95","0.01"
"00723B","群益15年IG科技債","48.95","-0.10","49.06","49.06","48.92","104,000","5,090,880","20","48.86","3","49.03","10","837,083,000","9,999.95","0.01"
"00724B","群益10年IG金融債","47.54","-0.05","47.46","47.57","47.45","115,000","5,468,950","19","47.51","2","47.57","2","1,466,775,000","9,999.95","0.01"
"00725B","國泰投資級公司債","46.90","+0.03","46.87","46.94","46.85","130,000","6,096,910","15","46.91","1","46.93","1","654,706,000","9,999.95","0.01"
"00726B","國泰5Y+新興債","46.47","+0.23","46.37","46.47","46.33","106,000","4,918,560","6","46.37","24","46.47","13","1,152,989,000","9,999.95","0.01"
"00727B","國泰1-5Y高收債","38.96","-0.03","38.98","38.98","38.95","113,000","4,403,560","11","38.95","6","39.02","2","184,189,000","9,999.95","0.01"
"00734B","台新JPM新興債","22.44","+0.05","22.45","22.45","22.44","1,007,000","22,597,110","24","22.42","201","22.45","9","44,979,000","9,999.95","0.01"
"00740B","富邦全球投等債","51.50","-0.10","51.40","51.50","51.35","327,000","16,840,150","12","51.40","17","51.50","6","557,971,000","9,999.95","0.01"
"00741B","富邦全球高收債","38.35","+0.10","38.33","38.35","38.33","247,000","9,472,310","7","38.32","13","38.36","1","18,628,000","9,999.95","0.01"
"00744B","國泰中國政金債5+","40.43","+0.19","40.30","40.43","40.30","152,000","6,133,990","8","40.30","11","40.43","28","1,027,728,000","9,999.95","0.01"
"00745B","富邦中政債0-1","39.12","+0.14","39.13","39.13","39.12","100,000","3,912,500","4","38.91","46","39.13","10","4,016,000","9,999.95","0.01"
"00746B","富邦A級公司債","50.35","-0.20","50.40","50.40","50.35","101,000","5,087,900","5","50.35","1","50.40","2","1,092,464,000","9,999.95","0.01"
"00747B","FH中國政策債","49.76","+0.16","49.76","49.76","49.76","100,000","4,976,000","2","49.73","11","49.80","10","828,500,000","9,999.95","0.01"
"00748B","凱基中國債3-10","40.83","+0.12","40.78","40.88","40.78","159,000","6,491,280","12","40.78","14","40.88","21","623,000,000","9,999.95","0.01"
"00749B","凱基新興債10+","49.95","+0.15","50.00","50.00","49.95","120,000","5,995,000","4","49.90","1","49.97","14","1,278,500,000","9,999.95","0.01"
"00750B","凱基科技債10+","50.15","-0.10","50.15","50.15","50.15","100,000","5,015,000","4","50.05","11","50.25","1","169,000,000","9,999.95","0.01"
"00751B","元大AAA至A公司債","51.90","-0.25","52.15","52.15","51.90","241,000","12,524,200","54","51.90","46","51.95","1","1,157,603,000","9,999.95","0.01"
