上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:113/05/08
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","29.28","+0.06","29.31","29.35","29.26","44,298,000","1,298,080,240","7,489","29.28","156","29.29","6,216","7,184,192,000","9,999.95","0.01"
"00687B","國泰20年美債","30.44","+0.05","30.46","30.51","30.44","29,452,000","897,494,590","5,143","30.44","5,185","30.45","244","4,976,287,000","9,999.95","0.01"
"00694B","富邦美債1-3","41.27","+0.03","41.32","41.32","41.27","125,000","5,160,720","16","41.23","16","41.27","45","194,576,000","9,999.95","0.01"
"00695B","富邦美債7-10","35.08","+0.03","35.12","35.12","35.07","165,000","5,790,580","18","35.06","50","35.10","45","34,686,000","9,999.95","0.01"
"00696B","富邦美債20年","31.15","+0.05","31.15","31.25","31.15","9,388,000","292,789,690","1,843","31.15","1,826","31.16","1","1,137,181,000","9,999.95","0.01"
"00697B","元大美債7-10","35.66","+0.04","35.62","35.72","35.62","415,000","14,800,700","71","35.65","8","35.66","3","30,212,000","9,999.95","0.01"
"00718B","富邦中國政策債","20.62","+0.02","20.63","20.63","20.62","106,000","2,186,720","4","20.61","20","20.63","4","483,501,000","9,999.95","0.01"
"00719B","元大美債1-3","31.63","+0.02","31.65","31.65","31.63","1,106,000","34,993,210","380","31.63","9","31.64","195","383,014,000","9,999.95","0.01"
"00720B","元大投資級公司債","35.00","-0.02","35.02","35.08","35.00","12,335,000","432,115,340","2,635","35.00","59","35.01","139","4,047,609,000","9,999.95","0.01"
"00721B","元大中國債3-5","46.70","+0.08","46.75","46.75","46.70","51,000","2,381,750","2","46.65","20","46.70","2","4,622,000","9,999.95","0.01"
"00722B","群益投資級電信債","38.36","-0.03","38.42","38.45","38.36","3,614,000","138,732,510","320","38.36","28","38.37","5","1,429,739,000","9,999.95","0.01"
"00723B","群益投資級科技債","33.66","+0.05","33.64","33.66","33.64","151,000","5,082,640","7","33.64","72","33.65","1","1,524,083,000","9,999.95","0.01"
"00724B","群益投資級金融債","34.70","+0.05","34.71","34.77","34.67","12,588,000","436,977,960","338","34.68","110","34.70","126","2,972,275,000","9,999.95","0.01"
"00725B","國泰投資級公司債","37.35","-0.01","37.38","37.44","37.34","5,227,000","195,397,000","590","37.35","22","37.36","13","2,715,206,000","9,999.95","0.01"
"00726B","國泰5Y+新興債","34.04","+0.05","34.09","34.12","34.01","262,000","8,920,000","53","34.01","10","34.04","102","1,160,489,000","9,999.95","0.01"
"00727B","國泰1-5Y非投等債","40.09","+0.09","40.06","40.10","40.06","194,000","7,775,590","25","40.07","1","40.08","1","96,189,000","9,999.95","0.01"
"00734B","台新JPM新興債","15.70","+0.08","15.67","15.73","15.67","503,000","7,897,260","21","15.69","99","15.70","5","33,979,000","9,999.95","0.01"
"00740B","富邦全球投等債","40.33","-0.01","40.33","40.40","40.30","4,855,000","195,915,690","148","40.33","378","40.34","555","1,233,471,000","9,999.95","0.01"
"00741B","富邦全球非投等債","38.78","+0.03","38.77","38.79","38.77","102,000","3,955,560","6","38.79","1","38.80","1","11,628,000","9,999.95","0.01"
"00746B","富邦A級公司債","36.67","0.00","36.68","36.75","36.65","2,173,000","79,713,000","36","36.65","134","36.66","21","2,399,464,000","9,999.95","0.01"
"00749B","凱基新興債10+","31.97","+0.22","31.85","31.97","31.85","191,000","6,104,130","22","31.89","6","31.97","3","952,000,000","9,999.95","0.01"
"00750B","凱基科技債10+","35.12","+0.12","35.07","35.12","35.07","101,000","3,547,070","5","35.04","11","35.09","1","126,000,000","9,999.95","0.01"
"00751B","元大AAA至A公司債","34.33","0.00","34.34","34.40","34.33","8,971,000","308,197,520","1,610","34.33","122","34.34","32","4,397,103,000","9,999.95","0.01"
"00754B","群益AAA-AA公司債","36.54","+0.06","36.58","36.59","36.54","165,000","6,034,960","15","36.54","31","36.55","1","1,022,900,000","9,999.95","0.01"
"00755B","群益投資級公用債","34.52","+0.08","34.54","34.56","34.51","168,000","5,802,730","21","34.49","20","34.55","1","179,730,000","9,999.95","0.01"
"00756B","群益投等新興公債","33.17","+0.17","33.10","33.23","33.10","398,000","13,207,180","71","33.16","4","33.17","3","1,227,800,000","9,999.95","0.01"
"00758B","復華能源債","53.50","+0.20","53.55","53.55","53.50","101,000","5,403,550","3","53.45","25","53.50","9","5,525,000","9,999.95","0.01"
"00759B","復華製藥債","57.25","+0.20","57.35","57.35","57.25","103,000","5,906,850","5","57.25","55","57.30","1","48,025,000","9,999.95","0.01"
"00760B","復華新興企業債","54.90","+0.30","54.85","54.90","54.80","142,000","7,793,600","15","54.85","5","54.90","1","401,520,000","9,999.95","0.01"
"00761B","國泰A級公司債","36.95","-0.01","36.99","37.03","36.92","874,000","32,302,750","57","36.94","2","36.95","449","2,539,589,000","9,999.95","0.01"
"00764B","群益25年美債","30.45","+0.08","30.47","30.53","30.43","20,778,000","632,950,300","2,022","30.45","111","30.46","350","1,179,500,000","9,999.95","0.01"
"00768B","復華20年美債","54.05","+0.40","54.00","54.05","53.95","162,000","8,748,500","30","54.00","45","54.05","80","416,600,000","9,999.95","0.01"
"00772B","中信高評級公司債","35.51","0.00","35.52","35.59","35.50","6,689,000","237,713,830","995","35.50","984","35.51","7","3,750,290,000","9,999.95","0.01"
"00773B","中信優先金融債","36.84","+0.04","36.86","36.92","36.84","3,952,000","145,656,240","273","36.84","89","36.85","17","2,441,790,000","9,999.95","0.01"
"00777B","凱基AAA至A公司債","35.09","+0.14","35.09","35.09","35.09","100,000","3,509,000","2","35.02","11","35.07","1","1,632,650,000","9,999.95","0.01"
"00778B","凱基金融債20+","36.41","+0.15","36.39","36.41","36.39","101,000","3,675,410","5","36.34","11","36.37","1","1,397,650,000","9,999.95","0.01"
"00779B","凱基美債25+","30.62","+0.07","30.65","30.70","30.62","606,000","18,578,040","18","30.62","55","30.63","6","936,150,000","9,999.95","0.01"
"00780B","國泰A級金融債","37.37","-0.03","37.39","37.39","37.37","115,000","4,299,570","6","37.36","89","37.37","1","239,602,000","9,999.95","0.01"
"00781B","國泰A級科技債","32.51","+0.05","32.57","32.57","32.51","106,000","3,449,120","4","32.51","21","32.54","37","5,836,000","9,999.95","0.01"
"00782B","國泰A級公用債","32.50","+0.02","32.52","32.55","32.50","140,000","4,551,200","11","32.50","31","32.51","1","23,467,000","9,999.95","0.01"
