上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:113/11/01
"代號","名稱","收盤 ","漲跌","開盤 ","最高 ","最低","成交股數  "," 成交金額(元)"," 成交筆數 ","最後買價","最後買量(千股)","最後賣價","最後賣量(千股)","發行股數 ","次日漲停價 ","次日跌停價"
"00679B","元大美債20年","29.39","+0.08","29.33","29.39","29.30","36,998,000","1,085,770,300","11,900","29.39","3,658","29.40","165","10,320,192,000","9,999.95","0.01"
"00687B","國泰20年美債","30.54","+0.09","30.51","30.55","30.46","40,989,000","1,250,248,080","5,545","30.54","4,188","30.55","870","8,405,287,000","9,999.95","0.01"
"00694B","富邦美債1-3","41.31","-0.18","41.38","41.38","41.31","71,000","2,935,560","18","41.31","2","41.32","2","189,576,000","9,999.95","0.01"
"00695B","富邦美債7-10","35.22","-0.19","35.23","35.24","35.16","561,000","19,754,640","32","35.22","138","35.23","10","35,686,000","9,999.95","0.01"
"00696B","富邦美債20年","31.40","+0.09","31.32","31.40","31.30","6,674,000","209,322,330","228","31.40","564","31.41","100","1,090,681,000","9,999.95","0.01"
"00697B","元大美債7-10","35.81","-0.22","35.83","35.84","35.78","472,000","16,900,490","130","35.80","85","35.81","11","53,212,000","9,999.95","0.01"
"00718B","富邦中國政策債","20.66","-0.02","20.65","20.66","20.65","107,000","2,210,550","3","20.66","1","20.68","1","342,001,000","9,999.95","0.01"
"00719B","元大美債1-3","31.35","-0.13","31.47","31.47","31.34","915,000","28,689,100","333","31.34","163","31.35","34","398,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","35.08","-0.05","35.07","35.08","35.03","10,237,000","358,764,590","1,524","35.07","887","35.08","82","4,321,109,000","9,999.95","0.01"
"00722B","群益投資級電信債","38.47","-0.10","38.61","38.61","38.42","3,975,000","152,810,790","217","38.47","7","38.48","18","1,540,739,000","9,999.95","0.01"
"00723B","群益投資級科技債","33.56","-0.06","33.55","33.56","33.53","167,000","5,599,940","12","33.56","1","33.57","142","1,497,583,000","9,999.95","0.01"
"00724B","群益投資級金融債","34.95","-0.18","35.08","35.08","34.94","10,860,000","379,609,240","351","34.95","80","34.97","5","2,850,775,000","9,999.95","0.01"
"00725B","國泰投資級公司債","37.13","-0.13","37.14","37.22","37.06","11,707,000","434,387,970","1,740","37.13","333","37.14","110","3,249,206,000","9,999.95","0.01"
"00726B","國泰新興投等債","34.00","-0.02","34.01","34.01","33.89","188,000","6,383,790","67","33.99","1","34.00","7","1,163,489,000","9,999.95","0.01"
"00727B","國泰優選非投等債","39.94","-0.26","40.02","40.02","39.87","284,000","11,349,280","31","39.92","2","39.93","4","95,189,000","9,999.95","0.01"
"00734B","台新JPM新興債","15.60","-0.07","15.62","15.62","15.60","502,000","7,841,210","4","15.61","5","15.62","50","30,479,000","9,999.95","0.01"
"00740B","富邦全球投等債","40.30","-0.11","40.29","40.33","40.26","3,251,000","130,969,110","344","40.30","579","40.31","204","1,615,971,000","9,999.95","0.01"
"00741B","富邦全球非投等債","38.79","-0.13","38.91","38.91","38.77","537,000","20,828,030","51","38.79","2","38.80","55","18,628,000","9,999.95","0.01"
"00746B","富邦A級公司債","36.77","-0.17","36.75","36.79","36.75","572,000","21,025,870","30","36.77","225","36.78","136","2,373,464,000","9,999.95","0.01"
"00749B","凱基新興債10+","31.75","-0.14","31.82","31.82","31.73","116,000","3,681,750","8","31.73","6","31.74","1","951,500,000","9,999.95","0.01"
"00750B","凱基科技債10+","35.15","-0.19","35.26","35.26","35.15","111,000","3,902,860","5","35.15","37","35.17","1","147,500,000","9,999.95","0.01"
"00751B","元大AAA至A公司債","34.28","-0.08","34.36","34.36","34.23","11,438,000","391,876,830","1,287","34.28","323","34.29","12","4,572,103,000","9,999.95","0.01"
"00754B","群益AAA-AA公司債","36.61","-0.13","36.65","36.65","36.58","205,000","7,506,650","16","36.61","20","36.62","2","677,900,000","9,999.95","0.01"
"00755B","群益投資級公用債","35.01","-0.06","34.98","35.02","34.95","106,000","3,710,970","10","35.01","19","35.02","2","205,230,000","9,999.95","0.01"
"00756B","群益投等新興公債","32.75","-0.22","32.98","33.00","32.70","582,000","19,095,040","139","32.78","6","32.80","19","1,155,800,000","9,999.95","0.01"
"00758B","復華能源債","53.50","+0.05","53.50","53.50","53.50","100,000","5,350,000","2","53.20","25","53.65","23","5,525,000","9,999.95","0.01"
"00759B","復華製藥債","57.35","-0.35","57.35","57.35","57.35","100,000","5,735,000","2","57.40","20","57.55","22","48,025,000","9,999.95","0.01"
"00760B","復華新興企業債","55.60","-0.25","55.55","55.60","55.55","117,000","6,505,100","9","55.65","16","55.70","36","395,520,000","9,999.95","0.01"
"00761B","國泰A級公司債","36.87","-0.13","36.98","36.99","36.83","1,475,000","54,396,100","156","36.87","135","36.88","97","2,607,089,000","9,999.95","0.01"
"00764B","群益25年美債","30.73","+0.08","30.65","30.73","30.60","7,247,000","222,394,650","201","30.73","1,702","30.74","30","1,441,000,000","9,999.95","0.01"
"00768B","復華20年美債","55.30","+0.15","55.25","55.30","55.20","632,000","34,912,100","39","55.25","261","55.30","12","459,600,000","9,999.95","0.01"
"00772B","中信高評級公司債","35.55","-0.06","35.61","35.61","35.49","4,771,000","169,503,730","603","35.54","213","35.55","43","3,472,790,000","9,999.95","0.01"
"00773B","中信優先金融債","37.25","-0.14","37.33","37.33","37.20","3,029,000","112,757,430","147","37.25","55","37.26","100","2,540,790,000","9,999.95","0.01"
"00777B","凱基AAA至A公司債","35.09","-0.16","35.19","35.19","35.09","111,000","3,896,090","5","35.08","48","35.11","1","1,766,150,000","9,999.95","0.01"
"00778B","凱基金融債20+","36.72","-0.22","36.85","36.85","36.72","112,000","4,114,080","4","36.71","47","36.74","1","1,501,150,000","9,999.95","0.01"
"00779B","凱基美債25+","30.91","+0.11","30.84","30.91","30.82","1,339,000","41,321,060","37","30.91","154","30.92","110","1,186,650,000","9,999.95","0.01"
"00780B","國泰A級金融債","37.71","-0.28","37.72","37.72","37.71","124,000","4,676,280","5","37.71","23","37.72","1","302,602,000","9,999.95","0.01"
"00781B","國泰A級科技債","32.01","-0.02","32.03","32.03","32.01","107,000","3,427,110","6","32.03","26","32.10","64","5,336,000","9,999.95","0.01"
"00782B","國泰A級公用債","32.86","-0.05","32.98","32.98","32.72","29,000","952,380","9","32.88","12","32.90","9","18,967,000","9,999.95","0.01"
"00784B","富邦中國投等債","38.31","-0.16","38.31","38.31","38.31","100,000","3,831,000","2","38.26","20","38.35","2","2,993,000","9,999.95","0.01"
"00785B","富邦金融投等債","36.20","-0.40","36.30","36.30","36.17","40,000","1,447,910","11","36.18","3","36.20","1","935,966,000","9,999.95","0.01"
"00786B","元大10年IG銀行債","34.32","-0.15","34.36","34.36","34.31","265,000","9,096,100","86","34.32","34","34.34","19","41,566,000","9,999.95","0.01"
"00787B","元大10年IG醫療債","34.30","-0.12","34.43","34.43","34.28","26,000","892,480","17","34.36","1","34.39","38","18,306,000","9,999.95","0.01"
"00788B","元大10年IG電能債","31.82","-0.02","31.84","31.84","31.75","146,000","4,640,220","31","31.80","1","31.82","23","39,206,000","9,999.95","0.01"
"00789B","復華公司債A3","51.85","-0.20","51.90","51.90","51.85","167,000","8,661,300","9","51.85","27","51.90","2","364,600,000","9,999.95","0.01"
"00790B","復華次順位金融債","55.70","-0.30","55.70","55.70","55.70","100,000","5,570,000","4","55.45","12","55.85","4","2,100,000","9,999.95","0.01"
"00791B","復華信用債1-5","56.20","-0.25","56.20","56.20","56.20","100,000","5,620,000","4","56.00","1","56.15","1","253,600,000","9,999.95","0.01"
"00792B","群益A級公司債","34.00","+0.05","33.95","34.00","33.91","172,000","5,838,360","16","33.95","1","34.00","7","1,714,115,000","9,999.95","0.01"
"00793B","群益AAA-A醫療債","32.92","-0.01","32.89","32.92","32.88","113,000","3,715,600","8","32.91","2","32.95","20","4,026,000","9,999.95","0.01"
"00794B","群益7+中國政金債","41.74","-0.01","41.70","41.74","41.70","100,000","4,172,000","4","41.65","1","41.69","1","31,687,000","9,999.95","0.01"
"00795B","中信美國公債20年","29.88","+0.08","29.83","29.88","29.78","14,482,000","432,125,480","2,100","29.88","2,404","29.89","12","2,224,098,000","9,999.95","0.01"
"00799B","國泰A級醫療債","32.86","-0.03","32.79","32.86","32.79","124,000","4,071,630","6","32.84","2","32.87","22","8,036,000","9,999.95","0.01"
"00834B","第一金金融債10+","35.13","-0.06","35.19","35.19","35.12","155,000","5,445,910","10","35.10","1","35.12","1","19,698,000","9,999.95","0.01"
"00836B","永豐10年A公司債","30.70","-0.13","30.71","30.71","30.70","101,000","3,101,700","3","30.70","196","30.71","2","382,541,000","9,999.95","0.01"
"00840B","凱基IG精選15+","32.18","-0.10","32.29","32.29","32.17","112,000","3,605,360","6","32.17","49","32.19","1","59,431,000","9,999.95","0.01"
"00841B","凱基AAA-AA公司債","31.75","-0.14","31.73","31.75","31.73","102,000","3,236,500","6","31.73","21","31.78","10","69,940,000","9,999.95","0.01"
"00842B","台新美元銀行債","33.35","-0.05","33.33","33.35","33.33","102,000","3,401,660","3","33.36","50","33.42","10","9,767,000","9,999.95","0.01"
"00844B","新光15年IG金融債","33.50","-0.06","33.38","33.54","33.38","678,000","22,707,070","20","33.48","250","33.51","100","181,175,000","9,999.95","0.01"
"00845B","富邦新興投等債","33.60","-0.21","33.60","33.60","33.60","100,000","3,360,000","2","33.56","40","33.63","10","200,051,000","9,999.95","0.01"
"00846B","富邦歐洲銀行債","36.28","-0.27","36.28","36.28","36.28","100,000","3,628,000","2","36.26","1","36.29","36","74,350,000","9,999.95","0.01"
"00847B","中信美國市政債","27.81","-0.06","27.79","27.81","27.79","310,000","8,619,900","7","27.82","50","27.83","3","9,305,000","9,999.95","0.01"
"00848B","中信新興亞洲債","35.25","-0.19","35.40","35.40","35.25","404,000","14,261,130","19","35.25","6","35.28","10","136,566,000","9,999.95","0.01"
"00849B","中信EM主權債0-5","37.15","-0.20","37.33","37.33","37.13","320,000","11,890,280","10","37.13","4","37.14","3","511,606,000","9,999.95","0.01"
"00853B","統一美債10年Aa-A","29.24","-0.16","29.31","29.31","29.21","1,337,000","39,098,720","80","29.24","88","29.25","1","111,634,000","9,999.95","0.01"
"00856B","永豐1-3年美公債","38.36","-0.15","38.36","38.36","38.35","3,000","115,070","3","38.35","1","38.39","65","7,792,000","9,999.95","0.01"
"00857B","永豐20年美公債","25.40","+0.06","25.29","25.40","25.29","3,250,000","82,441,830","366","25.40","1,084","25.41","54","898,268,000","9,999.95","0.01"
"00858","永豐美國500大","31.93","-0.58","32.47","32.47","31.71","317,000","10,119,240","163","31.93","75","31.94","37","40,374,000","9,999.95","0.01"
"00859B","群益0-1年美債","42.07","-0.11","42.08","42.08","42.07","100,000","4,207,500","4","42.01","60","42.09","168","4,511,000","9,999.95","0.01"
"00860B","群益1-5Y投資級債","38.74","-0.16","38.79","38.79","38.68","105,000","4,067,760","9","38.74","5","38.76","22","4,171,000","9,999.95","0.01"
"00862B","中信投資級公司債","33.23","-0.07","33.36","33.36","33.20","531,000","17,636,630","29","33.23","75","33.26","63","728,381,000","9,999.95","0.01"
"00863B","中信全球電信債","33.98","-0.17","34.04","34.04","33.97","323,000","10,975,890","8","33.99","32","34.05","54","494,964,000","9,999.95","0.01"
"00864B","中信美國公債0-1","45.92","-0.12","45.98","45.98","45.90","459,000","21,085,340","60","45.92","1","45.93","5","125,722,000","9,999.95","0.01"
"00867B","新光A-BBB電信債","33.40","-0.05","33.38","33.40","33.38","201,000","6,709,400","5","33.38","50","33.40","2","541,650,000","9,999.95","0.01"
"00870B","元大15年EM主權債","29.42","-0.19","29.60","29.60","29.38","106,000","3,134,760","7","29.41","22","29.48","46","600,651,000","9,999.95","0.01"
"00877","復華中國5G","12.83","-0.04","12.83","13.00","12.70","2,177,000","27,991,790","402","12.83","59","12.84","78","242,288,000","9,999.95","0.01"
"00883B","中信ESG投資級債","32.44","-0.04","32.44","32.44","32.43","316,000","10,248,020","13","32.43","35","32.47","16","9,758,000","9,999.95","0.01"
"00884B","中信低碳新興債","30.53","-0.18","30.63","30.63","30.51","507,000","15,479,220","38","30.53","5","30.54","5","69,440,000","9,999.95","0.01"
"00886","永豐美國科技","33.60","-1.09","33.60","33.60","33.51","183,000","6,147,180","16","33.58","20","33.60","15","7,951,000","9,999.95","0.01"
"00887","永豐中國科技50大","8.59","+0.11","8.52","8.72","8.52","23,280,000","200,950,200","3,964","8.58","71","8.59","246","427,851,000","9,999.95","0.01"
"00888","永豐台灣ESG","16.64","-0.17","16.36","16.66","16.33","2,322,000","38,212,360","409","16.63","6","16.64","45","377,478,000","18.30","14.98"
"00890B","凱基ESG BBB債15+","34.51","-0.09","34.56","34.56","34.45","538,000","18,542,550","14","34.49","5","34.51","12","22,764,000","9,999.95","0.01"
"00928","中信上櫃ESG 30","16.49","-0.12","16.29","16.50","16.28","1,640,000","26,841,240","330","16.49","24","16.54","100","45,856,000","18.13","14.85"
"00931B","統一美債20年","14.61","+0.04","14.58","14.62","14.56","9,397,000","137,154,850","787","14.61","2,954","14.62","28","2,530,398,000","9,999.95","0.01"
"00933B","國泰10Y+金融債","16.80","-0.07","16.87","16.87","16.78","13,756,000","231,019,290","2,330","16.80","163","16.81","2,558","4,104,958,000","9,999.95","0.01"
"00937B","群益ESG投等債20+","15.78","-0.03","15.78","15.79","15.76","55,698,000","878,460,480","9,541","15.78","5,880","15.79","329","15,061,805,000","9,999.95","0.01"
"00942B","台新美A公司債20+","15.33","-0.03","15.38","15.38","15.32","5,577,000","85,514,180","331","15.33","1,237","15.34","1,113","862,459,000","9,999.95","0.01"
"00948B","中信優息投資級債","9.97","-0.02","10.01","10.01","9.95","35,995,000","358,704,670","3,817","9.96","8,693","9.97","29","3,048,927,000","9,999.95","0.01"
"00950B","凱基A級公司債","14.93","-0.05","14.93","14.95","14.91","8,438,000","125,947,730","978","14.93","440","14.94","998","660,809,000","9,999.95","0.01"
"00955","中信日本商社","9.37","-0.21","9.56","9.56","9.36","5,423,000","51,038,250","505","9.37","158","9.38","130","65,431,000","9,999.95","0.01"
"00957B","兆豐US優選投等債","14.39","-0.04","14.40","14.40","14.36","13,466,000","193,657,500","109","14.39","1,280","14.40","1,506","248,263,000","9,999.95","0.01"
"00958B","永豐ESG銀行債15+","9.56","-0.02","9.58","9.58","9.54","1,656,000","15,824,660","356","9.55","1,606","9.56","73","306,271,000","9,999.95","0.01"
"00959B","大華投等美債15Y+","9.81","-0.04","9.83","9.83","9.80","17,381,000","170,513,020","2,148","9.80","3,612","9.81","5,788","533,836,000","9,999.95","0.01"
"1240","茂生農經","51.60","+0.10","52.30","52.30","51.60","3,000","156,100","3","51.60","1","51.80","2","41,338,666","56.70","46.45"
"1259","安心","67.00","0.00","66.20","67.50","65.00","42,000","2,777,000","39","66.60","1","67.50","1","32,389,500","73.70","60.30"
"1264","德麥","304.00","-2.00","305.00","305.00","303.00","23,000","6,994,500","23","303.50","2","305.00","1","37,064,367","334.00","274.00"
"1268","漢來美食","153.50","-0.50","154.00","154.50","153.00","42,000","6,445,000","38","153.50","3","154.00","2","42,223,730","168.50","138.50"
"1294","漢田生技","93.80","-0.50","93.00","94.40","92.00","33,000","3,072,700","33","93.70","5","93.90","3","27,600,763","103.00","84.50"
"1336","台翰","23.85","-0.15","23.70","23.95","23.35","438,000","10,345,600","235","23.80","6","23.95","5","78,286,419","26.20","21.50"
"1565","精華","213.50","+2.50","209.50","214.00","208.50","206,000","43,603,500","178","213.50","3","214.00","20","50,416,516","234.50","192.50"
"1569","濱川","38.30","+1.30","35.10","38.55","35.10","3,673,000","136,245,250","1,593","38.25","13","38.30","6","121,447,441","42.10","34.50"
"1570","力肯","28.10","+0.45","27.40","28.10","26.80","168,000","4,640,200","97","28.05","1","28.10","3","51,500,839","30.90","25.30"
"1580","新麥","143.00","0.00","142.50","143.00","142.00","23,000","3,279,500","16","142.50","4","143.50","4","50,230,242","157.00","129.00"
"1584","精剛","32.95","+0.10","32.60","33.05","32.15","1,333,000","43,730,950","716","32.95","21","33.00","45","232,470,533","36.20","29.70"
"1586","和勤","31.95","-0.05","32.00","32.15","31.60","214,000","6,819,000","197","31.85","2","31.95","2","86,605,692","35.10","28.80"
"1591","駿吉-KY","45.80","+4.15","41.80","45.80","41.80","641,000","29,110,850","330","45.80","447","0.00","0","36,048,047","50.30","41.25"
"1593","祺驊","37.80","-0.10","37.00","37.90","37.00","20,000","746,550","15","37.55","1","37.80","1","39,784,772","41.55","34.05"
"1595","川寶","70.40","-7.80","72.80","74.00","70.40","5,915,000","420,248,600","2,541","0.00","0","70.40","599","47,947,884","77.40","63.40"
"1599","宏佳騰","31.80","+0.10","31.70","32.15","31.65","52,000","1,655,900","13","31.75","1","31.80","3","74,528,764","34.95","28.65"
"1742","台蠟","17.85","-0.20","18.05","18.15","17.80","115,000","2,062,200","54","17.85","7","18.00","1","93,559,300","19.60","16.10"
"1777","生泰","93.20","0.00","92.40","93.20","91.20","83,000","7,668,700","67","92.30","4","93.30","2","44,591,713","102.50","83.90"
"1781","合世","16.30","+0.10","16.00","16.40","16.00","73,000","1,173,150","38","16.15","2","16.30","1","47,407,605","17.90","14.70"
"1784","訊聯","91.20","-0.20","91.00","92.70","90.40","297,000","27,140,000","208","91.20","3","91.30","1","53,121,191","100.00","82.10"
"1785","光洋科","62.40","-0.70","60.50","62.40","60.50","11,973,000","735,127,500","6,077","62.30","19","62.40","9","596,175,243","68.60","56.20"
"1788","杏昌","139.50","+1.00","140.00","140.00","139.00","7,000","975,500","7","139.00","2","139.50","1","44,520,971","153.00","126.00"
"1796","金穎生技","48.25","+0.20","48.05","48.30","48.05","7,000","337,600","6","48.10","1","48.25","1","41,459,793","53.00","43.45"
"1799","易威","91.50","-2.30","94.80","95.10","90.50","213,000","19,771,600","203","91.50","6","92.00","1","121,865,775","100.50","82.40"
"1813","寶利徠","19.45","+0.35","19.10","19.55","19.10","35,000","676,000","25","19.40","1","19.45","2","46,635,510","21.35","17.55"
"1815","富喬","22.75","+1.20","21.40","23.15","21.20","14,467,000","327,654,200","5,779","22.70","40","22.75","115","515,777,751","25.00","20.50"
"02001B","統一美國政府債N","8.28","-0.03","8.28","8.28","8.28","1,000","8,280","1","8.28","221","8.29","223","20,000,000","9,999.95","0.01"
