上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:113/11/11
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","29.44","+0.29","29.38","29.45","29.31","54,111,000","1,589,852,950","9,522","29.44","2,782","29.45","600","10,558,192,000","9,999.95","0.01"
"00687B","國泰20年美債","30.61","+0.30","30.49","30.63","30.48","57,719,000","1,763,805,050","9,101","30.61","2,108","30.62","870","8,545,287,000","9,999.95","0.01"
"00694B","富邦美債1-3","41.71","+0.22","41.48","41.73","41.48","613,000","25,511,800","341","41.71","28","41.72","12","189,576,000","9,999.95","0.01"
"00695B","富邦美債7-10","35.51","+0.21","35.32","35.52","35.32","130,000","4,614,740","16","35.52","1","35.53","126","36,186,000","9,999.95","0.01"
"00696B","富邦美債20年","31.49","+0.33","31.29","31.50","31.29","5,170,000","162,407,810","291","31.49","48","31.50","51","1,088,181,000","9,999.95","0.01"
"00697B","元大美債7-10","36.09","+0.20","35.98","36.10","35.95","245,000","8,825,390","59","36.09","3","36.10","1","53,712,000","9,999.95","0.01"
"00718B","富邦中國政策債","20.78","+0.02","20.68","20.80","20.68","109,000","2,266,280","5","20.73","20","20.82","20","342,001,000","9,999.95","0.01"
"00719B","元大美債1-3","31.66","+0.17","31.50","31.69","31.49","1,954,000","61,757,220","253","31.65","215","31.66","15","400,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","35.85","+0.36","35.65","35.88","35.65","14,375,000","514,250,420","2,193","35.85","460","35.86","95","4,326,609,000","9,999.95","0.01"
"00722B","群益投資級電信債","39.24","+0.40","38.95","39.24","38.95","5,207,000","204,107,760","272","39.24","17","39.25","8","1,541,739,000","9,999.95","0.01"
"00723B","群益投資級科技債","34.16","+0.31","34.04","34.16","34.04","125,000","4,266,650","14","34.15","101","34.16","1","1,496,583,000","9,999.95","0.01"
"00724B","群益投資級金融債","35.72","+0.27","35.56","35.73","35.56","5,614,000","200,209,320","199","35.72","27","35.73","7","2,849,775,000","9,999.95","0.01"
"00725B","國泰投資級公司債","38.05","+0.41","37.89","38.06","37.83","11,236,000","426,468,620","1,419","38.05","791","38.06","45","3,282,706,000","9,999.95","0.01"
"00726B","國泰新興投等債","34.35","+0.03","34.32","34.36","34.11","190,000","6,521,670","45","34.35","3","34.36","3","1,163,489,000","9,999.95","0.01"
"00727B","國泰優選非投等債","40.86","+0.37","40.56","40.87","40.56","121,000","4,930,650","27","40.86","25","40.87","19","88,689,000","9,999.95","0.01"
"00734B","台新JPM新興債","15.80","+0.15","15.77","15.81","15.77","507,000","8,015,100","15","15.79","99","15.80","9","30,479,000","9,999.95","0.01"
"00740B","富邦全球投等債","41.26","+0.46","41.09","41.28","41.08","3,894,000","160,348,800","379","41.25","7","41.26","19","1,621,971,000","9,999.95","0.01"
"00741B","富邦全球非投等債","39.61","+0.32","39.41","39.62","39.41","557,000","22,006,340","50","39.60","3","39.61","9","19,128,000","9,999.95","0.01"
"00746B","富邦A級公司債","37.39","+0.30","37.09","37.41","37.09","777,000","28,999,590","39","37.37","271","37.38","5","2,426,464,000","9,999.95","0.01"
"00749B","凱基新興債10+","32.14","+0.24","32.02","32.17","32.02","143,000","4,598,500","6","32.14","24","32.16","1","951,500,000","9,999.95","0.01"
"00750B","凱基科技債10+","35.82","+0.26","35.83","35.83","35.82","101,000","3,617,830","5","35.81","49","35.85","1","147,500,000","9,999.95","0.01"
"00751B","元大AAA至A公司債","34.85","+0.31","34.66","34.87","34.64","11,005,000","382,449,490","2,749","34.85","36","34.86","100","4,653,603,000","9,999.95","0.01"
"00754B","群益AAA-AA公司債","37.21","+0.29","37.09","37.21","37.09","136,000","5,057,460","11","37.20","99","37.22","1","744,400,000","9,999.95","0.01"
"00755B","群益投資級公用債","35.57","+0.28","35.29","35.57","35.29","201,000","7,139,260","15","35.55","100","35.56","4","205,730,000","9,999.95","0.01"
"00756B","群益投等新興公債","33.17","+0.18","32.99","33.22","32.99","632,000","20,941,000","88","33.19","4","33.20","20","1,200,800,000","9,999.95","0.01"
"00758B","復華能源債","54.35","+0.45","54.35","54.35","54.35","100,000","5,435,000","2","54.20","46","54.50","32","5,525,000","9,999.95","0.01"
"00759B","復華製藥債","58.50","+0.50","58.30","58.50","58.30","125,000","7,296,500","7","58.35","22","58.50","1","48,025,000","9,999.95","0.01"
"00760B","復華新興企業債","56.45","+0.40","56.10","56.60","56.10","215,000","12,131,650","23","56.40","22","56.45","2","413,520,000","9,999.95","0.01"
"00761B","國泰A級公司債","37.56","+0.33","37.30","37.56","37.30","604,000","22,621,450","86","37.55","100","37.56","143","2,688,589,000","9,999.95","0.01"
"00764B","群益25年美債","30.80","+0.33","30.62","30.80","30.62","9,150,000","281,539,980","382","30.80","690","30.81","11","1,433,500,000","9,999.95","0.01"
"00768B","復華20年美債","55.45","+0.55","55.30","55.50","55.30","751,000","41,592,950","58","55.45","107","55.50","15","460,600,000","9,999.95","0.01"
"00772B","中信高評級公司債","36.11","+0.30","35.91","36.12","35.91","6,950,000","250,387,460","822","36.11","532","36.12","51","3,483,790,000","9,999.95","0.01"
"00773B","中信優先金融債","38.02","+0.33","37.81","38.04","37.81","4,101,000","155,627,170","208","38.02","9","38.03","2","2,627,790,000","9,999.95","0.01"
"00777B","凱基AAA至A公司債","35.73","+0.29","35.67","35.73","35.64","112,000","4,001,010","4","35.72","36","35.76","1","1,766,150,000","9,999.95","0.01"
"00778B","凱基金融債20+","37.59","+0.24","37.46","37.59","37.46","115,000","4,321,780","10","37.60","2","37.62","1","1,501,150,000","9,999.95","0.01"
"00779B","凱基美債25+","30.97","+0.34","30.89","30.97","30.87","904,000","27,942,460","28","30.96","8","30.97","219","1,186,650,000","9,999.95","0.01"
"00780B","國泰A級金融債","38.36","+0.29","38.18","38.36","38.18","172,000","6,587,810","31","38.36","15","38.38","1","302,602,000","9,999.95","0.01"
"00781B","國泰A級科技債","32.48","+0.28","32.25","32.48","32.25","113,000","3,664,550","10","32.44","19","32.48","64","5,336,000","9,999.95","0.01"
"00782B","國泰A級公用債","33.34","+0.31","33.19","33.34","33.16","125,000","4,161,030","16","33.33","77","33.37","3","18,967,000","9,999.95","0.01"
"00784B","富邦中國投等債","38.50","-0.05","38.55","38.55","38.50","132,000","5,083,600","4","38.44","20","38.59","15","2,993,000","9,999.95","0.01"
"00785B","富邦金融投等債","36.80","+0.29","36.79","36.80","36.79","120,000","4,415,800","5","36.79","20","36.82","1","936,466,000","9,999.95","0.01"
"00786B","元大10年IG銀行債","35.00","+0.27","34.88","35.00","34.88","105,000","3,667,440","39","34.99","69","35.00","2","41,566,000","9,999.95","0.01"
"00787B","元大10年IG醫療債","34.90","+0.29","34.86","34.90","34.79","99,000","3,450,260","23","34.89","2","34.90","2","18,306,000","9,999.95","0.01"
"00788B","元大10年IG電能債","32.24","+0.29","32.09","32.24","32.09","87,000","2,797,900","32","32.24","68","32.25","1","39,206,000","9,999.95","0.01"
"00789B","復華公司債A3","52.80","+0.45","52.55","52.80","52.55","108,000","5,696,700","11","52.80","27","52.85","2","392,600,000","9,999.95","0.01"
"00790B","復華次順位金融債","56.80","+0.45","56.80","56.80","56.80","100,000","5,680,000","4","56.45","25","56.95","14","2,100,000","9,999.95","0.01"
"00791B","復華信用債1-5","57.00","+0.40","57.00","57.00","57.00","100,000","5,700,000","4","56.70","36","56.85","1","253,600,000","9,999.95","0.01"
"00792B","群益A級公司債","34.45","+0.29","34.36","34.45","34.36","113,000","3,889,060","8","34.43","108","34.44","1","1,789,615,000","9,999.95","0.01"
"00793B","群益AAA-A醫療債","33.26","+0.26","33.28","33.28","33.26","100,000","3,327,000","4","33.23","20","33.26","1","4,026,000","9,999.95","0.01"
"00794B","群益7+中國政金債","41.83","0.00","41.83","41.83","41.82","55,000","2,300,620","4","41.74","15","41.79","2","31,687,000","9,999.95","0.01"
"00795B","中信美國公債20年","29.95","+0.31","29.81","29.95","29.80","21,978,000","656,908,500","3,572","29.94","477","29.95","719","2,295,098,000","9,999.95","0.01"
"00799B","國泰A級醫療債","33.35","+0.33","33.15","33.35","33.15","111,000","3,697,650","5","33.33","53","33.38","40","8,036,000","9,999.95","0.01"
"00834B","第一金金融債10+","35.90","+0.21","35.69","36.00","35.69","153,000","5,500,680","31","35.85","1","35.88","1","19,698,000","9,999.95","0.01"
"00836B","永豐10年A公司債","31.29","+0.27","31.22","31.29","31.22","101,000","3,160,220","3","31.29","176","31.30","1","385,041,000","9,999.95","0.01"
"00840B","凱基IG精選15+","32.74","+0.21","32.68","32.77","32.68","129,000","4,226,100","6","32.76","37","32.79","1","59,431,000","9,999.95","0.01"
"00841B","凱基AAA-AA公司債","32.31","+0.33","32.31","32.31","32.31","100,000","3,231,000","2","32.25","22","32.29","2","69,940,000","9,999.95","0.01"
"00842B","台新美元銀行債","33.88","+0.12","33.88","33.88","33.88","100,000","3,388,000","2","33.88","5","33.93","10","9,767,000","9,999.95","0.01"
"00844B","新光15年IG金融債","34.07","+0.24","33.92","34.07","33.92","1,054,000","35,866,050","100","34.07","43","34.08","20","192,675,000","9,999.95","0.01"
"00845B","富邦新興投等債","34.03","+0.21","34.03","34.03","34.03","100,000","3,403,000","2","34.02","38","34.03","1","200,051,000","9,999.95","0.01"
"00846B","富邦歐洲銀行債","36.78","+0.20","36.78","36.78","36.78","100,000","3,678,000","2","36.76","33","36.78","1","74,350,000","9,999.95","0.01"
"00847B","中信美國市政債","27.99","+0.24","27.91","27.99","27.91","313,000","8,758,690","10","27.98","10","27.99","1","9,305,000","9,999.95","0.01"
"00848B","中信新興亞洲債","35.75","+0.33","35.63","35.75","35.58","432,000","15,411,010","28","35.74","43","35.75","4","136,566,000","9,999.95","0.01"
"00849B","中信EM主權債0-5","37.53","+0.19","37.39","37.53","37.39","326,000","12,228,710","13","37.52","39","37.53","3","511,606,000","9,999.95","0.01"
"00853B","統一美債10年Aa-A","29.78","+0.26","29.59","29.78","29.59","1,317,000","39,139,000","95","29.78","40","29.79","26","111,634,000","9,999.95","0.01"
"00856B","永豐1-3年美公債","38.83","+0.27","38.63","38.83","38.63","427,000","16,563,840","42","38.79","45","38.83","9","7,792,000","9,999.95","0.01"
"00857B","永豐20年美公債","25.47","+0.26","25.36","25.47","25.36","3,556,000","90,428,100","588","25.46","1,070","25.47","31","910,768,000","9,999.95","0.01"
"00858","永豐美國500大","33.74","+0.45","33.35","33.74","33.35","883,000","29,675,620","232","33.72","1","33.75","4","40,374,000","9,999.95","0.01"
"00859B","群益0-1年美債","42.52","+0.24","42.30","42.52","42.30","158,000","6,713,530","27","42.48","135","42.52","18","4,511,000","9,999.95","0.01"
"00860B","群益1-5Y投資級債","39.29","+0.24","39.13","39.29","39.11","122,000","4,788,970","14","39.24","15","39.29","2","4,171,000","9,999.95","0.01"
"00862B","中信投資級公司債","34.09","+0.39","33.94","34.09","33.94","558,000","18,992,470","55","34.09","2","34.10","51","728,881,000","9,999.95","0.01"
"00863B","中信全球電信債","34.63","+0.29","34.51","34.63","34.51","344,000","11,911,610","16","34.62","38","34.63","6","494,964,000","9,999.95","0.01"
"00864B","中信美國公債0-1","46.48","+0.30","46.31","46.51","46.27","923,000","42,819,490","104","46.46","91","46.48","4","125,722,000","9,999.95","0.01"
"00867B","新光A-BBB電信債","34.02","+0.29","34.03","34.03","34.02","207,000","7,044,140","4","34.02","27","34.03","2","576,650,000","9,999.95","0.01"
"00870B","元大15年EM主權債","29.78","+0.23","29.70","29.78","29.70","5,000","148,750","5","29.78","40","29.79","19","600,651,000","9,999.95","0.01"
"00877","復華中國5G","13.83","+0.32","13.31","13.84","13.15","6,579,000","89,529,980","862","13.83","54","13.84","38","240,788,000","9,999.95","0.01"
"00883B","中信ESG投資級債","33.20","+0.34","33.01","33.20","33.01","453,000","15,019,110","26","33.18","89","33.20","2","9,758,000","9,999.95","0.01"
"00884B","中信低碳新興債","31.00","+0.23","30.93","31.02","30.92","391,000","12,109,430","16","31.00","51","31.01","3","75,940,000","9,999.95","0.01"
"00886","永豐美國科技","35.96","+0.33","35.90","35.97","35.90","17,000","610,750","10","35.97","15","35.98","1","7,451,000","9,999.95","0.01"
"00887","永豐中國科技50大","9.38","+0.21","8.88","9.38","8.88","47,567,000","437,145,090","6,960","9.38","388","9.39","139","429,851,000","9,999.95","0.01"
