上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:114/08/27
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","25.94","+0.13","25.95","25.97","25.92","29,774,000","772,547,200","2,716","25.94","68","25.95","1,733","9,146,192,000","9,999.95","0.01"
"00687B","國泰20年美債","27.22","+0.13","27.22","27.26","27.21","17,125,000","466,305,050","1,799","27.22","37","27.23","1,009","7,222,257,586","9,999.95","0.01"
"00687C","國泰20年美債+櫃U","9.12","+0.02","9.12","9.13","9.12","61,100","557,234","6","9.11","135","9.12","100","2,772,268","9,999.95","0.01"
"00694B","富邦美債1-3","40.22","+0.13","40.18","40.23","40.17","587,000","23,596,840","82","40.21","5","40.23","40","174,576,000","9,999.95","0.01"
"00695B","富邦美債7-10","34.33","+0.17","34.32","34.34","34.32","287,000","9,853,280","18","34.32","39","34.33","2","42,686,000","9,999.95","0.01"
"00696B","富邦美債20年","28.17","+0.12","28.19","28.21","28.17","5,486,000","154,674,620","133","28.17","1","28.18","304","945,681,000","9,999.95","0.01"
"00697B","元大美債7-10","34.94","+0.21","34.88","34.94","34.88","398,000","13,896,420","74","34.92","3","34.94","243","67,212,000","9,999.95","0.01"
"00719B","元大美債1-3","30.17","+0.11","30.18","30.18","30.13","2,065,000","62,265,920","346","30.17","7","30.18","438","499,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","32.51","+0.11","32.48","32.55","32.48","3,577,000","116,314,870","459","32.51","36","32.52","365","4,060,109,000","9,999.95","0.01"
"00722B","群益投資級電信債","35.70","+0.02","35.70","35.75","35.68","2,471,000","88,256,450","183","35.70","13","35.71","4","1,492,739,000","9,999.95","0.01"
"00723B","群益投資級科技債","30.98","+0.13","30.93","30.99","30.93","126,000","3,903,830","8","30.95","52","30.97","1","1,504,583,000","9,999.95","0.01"
